barcode;nama;harga
711844000000;ABC Kecap Manis Pouch (300gr);11000
711844000000;ABC Saos Tomat (135ml);6650
8885010000000;Aice 3 In 1 (160ml);10000
8997030000000;Aice Bingo Aice Chocolate (40gr);2500
8885010000000;Aice Bingo Cookies Cone (100ml);6000
8885010000000;Aice Blueberry Cookies Stick (65gr);6000
12346;Aice Brown Sugar Boba;6000
8885010000000;Aice Choco Malt Stick (49ml);2000
8885010000000;Aice Choco Melt (100ml);5000
8885010000000;Aice Chocolate 2 Colors (50ml);3000
8885010000000;Aice Chocolate Crispy (60gr);5000
8885010000000;Aice Chocolate Max Cone (100ml);7000
8885010000000;Aice Coffe Crispy (45gr);3500
102663;Aice Crispy Ball Cookies;5000
8885010000000;Aice Crispy Balls (65gr);5000
8885010000000;Aice Es Jeruk (60gr);2000
8885010000000;Aice Freezy Choco (65ml);2500
8885010000000;Aice Fruit Twister (65ml);3500
12350;Aice Fruitroll Stik (60ml);3500
12351;Aice Fruizzy Bluberry Youghurt  Stick (70ml);3000
8885010000000;Aice Fruizzy Grape Stick (70ml);2500
12353;Aice Funky Milk;3000
8885010000000;Aice Goal Stick (70ml);4000
885013000000;Aice Lolly Pineapple Stick (55ml);3000
8885010000000;Aice Mango Slush (65gr);4000
8885010000000;Aice Markisa (55ml);2000
8885010000000;Aice Miki Miki (30gr);2500
8885010000000;Aice Miki-Miki Double Chocolate (35ml);2000
12358;Aice Milk Cereal Crispy Stick (49ml);4000
8885010000000;Aice Milk Melon (50gr);3000
12360;Aice Mochi Banana (45ml);3000
8885010000000;Aice Mochi Chocolate (30gr);3000
8885010000000;Aice Mochi Durian (45ml);3000
8885010000000;Aice Mochi Klepon (45ml);3000
102736;Aice Mochi Mango (45ml);3000
12363;Aice Mochi Peach (45ml);3000
12345676;Aice Mochi Red Bean premium;5000
8885010000000;Aice Mochi Vanilla (30gr);3000
12345675;Aice Mochi cocolate Premium;5000
12364;Aice Moong Bean Stick (70ml);4500
8885010000000;Aice Nanas (65gr);2500
8997030000000;Aice Semangka (65gr);2000
123456781;Aice Strawberry Cone;7000
8885010000000;Aice Strawberry Crispy (90ml);3500
12345671;Aice Strawbery Max Cone;7000
8885010000000;Aice Sundae Chocolate Cup (100ml);5000
8885010000000;Aice Sundae Strawberry Cup (100ml);5000
8885010000000;Aice Sweet Corn New (52gr);3000
8885010000000;Aice Taro Crispy (50ml);3500
12367;Aice Vanilla Chocolate Cup;4000
8993210000000;Akumo Chicken Nugget (250gr);13500
8993210000000;Akumo Chicken Nugget (500gr);24000
123689;Akumo Chicken Stick (500gr);25500
8993210000000;Akumo Chicken Stik (250gr);13500
8993210000000;Akumo Koin Kombinasi (200gr);9000
8993210000000;Akumo Koin Kombinasi (400gr);18500
8993210000000;Akumo Nuget (1kg);46000
745179000000;Alien Otak -Otak Premium (250gr);10000
745179000000;Alien Otak-Otak Gold (250gr);7000
745179000000;Alien Otak-Otak Premium (500gr);19000
102665;Aqua (1600ml);6000
8886010000000;Aqua Air Mineral (330ml);2500
8886010000000;Aqua Air Mineral (600ml);4000
102664;Aqua gelas (200ml);23000
8997210000000;Ardena Egg Money Bag (300gr);19000
8997210000000;Ardena Fish Roll (250gr);14500
8997210000000;Ardena Fish Roll (500gr);28500
102605;Ardena Fisroll Ekonomis (200gr);12500
102604;Ardena Fisroll Ekonomis(500gr);24000
8997210000000;Ardena Siomay Ayam (250gr);18000
8997210000000;Ardena Siomay Ayam (500gr);34500
8997210000000;Ardena Siomay Udang (250gr);18000
8997210000000;Ardena Siomay Udang (500gr);36000
1234586;Arios Rendang Potong (500gr);60000
8993210000000;Asimo Nuget Kombinasi (1kg);40000
8993210000000;Asimo Nuget Kombinasi (250gr);10000
8993210000000;Asimo Nuget Kombinasi (500gr);20000
12369;Asimo Nuget Stik (500gr);20000
12370;Asimo Nugget Kombinasi (250gr) Bentuk S;10000
12371;Asimo Nugget Kombinasi (450gr) Bentuk S;18000
8993210000000;Asimo Sosis Ayam Kombinasi (1000gr);38000
8993210000000;Asimo Sosis Ayam Kombinasi (375gr);14000
8993210000000;Asimo Sosis Ayam Kombinasi (500gr);20500
8993210000000;Asimo Stick Kombinasi (250gr);10000
9000000000000;Bango Kecap Manis (25gr);1000
9000000000000;Bango Kecap Manis (265gr);10000
9000000000000;Bango Kecap Manis (700gr);24000
9000000000000;Bango Kecap Manis (77gr);3000
900000000000000;Bango Kecap Manis Btl (189gr);10000
9000000000000;Bango Kecap Manis Btl (385gr);23500
102607;Baraya Kulit Lumpia (23cm);6000
123674;Barraya Kulit Pangsit (250gr);7500
8995230000000;Belfood Chicken Nugget Stick Uenaak (250gr);13000
8994130000000;Belfood Favorite Chicken Nugget Ceria (170gr);12000
8994130000000;Belfood Favorite Chicken Nugget Stick (170gr);12000
123428;Belfood Favorite Crunchy Nugget (140gr);12500
8994130000000;Belfood Favorite Kentang (175gr);12000
8994130000000;Belfood Favorite Nugget Sp (170gr);12000
12376;Belfood Uenaak Nugget Crispy (90gr);7500
8995230000000;Belfood Uenaak Nugget S (250gr);13000
8992980000000;Belibis Cabe Value (1kg);24500
8992980000000;Belibis Saus Cabe (135ml);7500
8992980000000;Belibis Saus Cabe (340ml);20000
8995180000000;Beras Hok-1 (5kg);80500
12381;Beres Sosis Ori (13pcs);37000
12382;Beres Sosis Ori (7pcs);37000
9930100000000;Bernardi Bun Mini Tray (20pcs);26000
8997200000000;Bernardi Bun Mini Wijen Tray (20pcs);28000
8997020000000;Bernardi Burger Polos (6pcs);13500
8997020000000;Bernardi Burger Wijen (6pcs);15500
102742;Bernardi Plain Roll (60);15500
12383;Bernardi Spicy Chicken Wing (380gr);40000
8992630000000;Bimoli Minyak Goreng (1liter);21500
8992630000000;Bimoli Minyak Goreng (2L);41500
8719200000000;Blueband (200gr);11000
8993300000000;Bogasari Terigu Segitiga Biru (1000gr);12000
8993300000000;Bogasari Terigu Segitiga Biru (250gr);4000
8993300000000;Bogasari Terigu Segitiga Biru Premium (1000gr);12500
89686386066;Bumbu Racik Ayam Goreng (26gr);2000
89686386462;Bumbu Racik Ikan Goreng (20gr);2000
12386;Bumbu Tomyum (75gr);10000
102744;Bumifood Quick Bites Crab Stik (50gr);7500
102745;Bumifood Quick Bites Fish Tofu (50gr);7500
102746;Bumifood Quick Bites Odeng (50gr);7500
8997010000000;Cedea Baso Ikan Besar (500gr);26000
8997010000000;Cedea Baso Udang (500gr);30000
8997010000000;Cedea Chikuwa Long (1kg);57500
8997010000000;Cedea Chikuwa Long (480gr);28500
8997010000000;Cedea Chikuwa Mini (1kg);57500
8997010000000;Cedea Chikuwa Mini (250gr);17000
8997010000000;Cedea Chikuwa Mini (500gr);28500
8997010000000;Cedea Crab Nugget (500gr);29000
8997010000000;Cedea Crab Stik (1kg);55000
8997010000000;Cedea Crab Stik (250gr);16000
102731;Cedea Crab Stik (500gr);30500
8997010000000;Cedea Dumpling Spicy Chicken (500gr);31000
8997010000000;Cedea Duo Twister (500gr);26000
8997010000000;Cedea Farm Animal (500gr);50000
102730;Cedea Farm Animals (200gr);25500
8997010000000;Cedea Fish Dumpling Cheese (200gr);16500
8997010000000;Cedea Fish Dumpling Cheese (500gr);28500
8997010000000;Cedea Fish Dumpling Chicken (200gr);16500
8997010000000;Cedea Fish Dumpling Chicken (500gr);28500
8997010000000;Cedea Fish Dumpling Chicken Curry (500gr);28500
8997010000000;Cedea Fish Roll (1kg);50500
8997010000000;Cedea Fish Roll 10 (250gr);16000
8997010000000;Cedea Fish Roll Original (500gr);25500
8997010000000;Cedea Fish Roll Spicy (500gr);30500
8997010000000;Cedea Flower Twister (500gr);26000
8997010000000;Cedea Korean Odeng Ori (480gr);29500
8997010000000;Cedea Korean Odeng Spicy (480gr);30500
12389;Cedea Kue Ikan Cabe (500gr);27500
8997010000000;Cedea Lobster Ball (500gr);30000
8997010000000;Cedea Magic Bomb Kembang Cumi (450gr);32000
8997010000000;Cedea Oriental Cartoon  (500gr);50000
8997010000000;Cedea Oriental Cartoon (200gr);26000
12392;Cedea Otak-Otak Singapura (1000gr);54000
8997010000000;Cedea Otak-Otak Singapura (500gr);28500
8997010000000;Cedea Panda Fish (200gr);28500
8997010000000;Cedea Salmon Ball (500gr);28000
8997010000000;Cedea Seafood Tofu (500gr);30000
8997010000000;Cedea Shrimp Ball (500gr);26500
8997010000000;Cedea Shrimp Tail (450gr);36500
12387;Cedea Sosis Premium Salmon (500gr);37000
8997010000000;Cedea Steamboat Dashi (300gr);23500
8997010000000;Cedea Steamboat Set Dashi (500gr);38500
8997010000000;Cedea Steamboat Tomyum (300gr);23500
8997010000000;Cedea Tahu Baso Seafood (500gr);25000
8993210000000;Champ Beef Sausage (375gr);34000
8993210000000;Champ Burger (315gr);19500
8993210000000;Champ Chicken & Fish Siomay (180gr);14000
8993210000000;Champ Chicken Ball (500gr);26000
12396;Champ Chicken Nugget 123 (500gr);37000
8993210000000;Champ Chicken Sausage (1kg);45500
8993210000000;Champ Chicken Sausage (375gr);18500
8993210000000;Champ Chicken Sausage (500gr);25500
8993210000000;Champ Chicken Stik (250gr);20000
1234593;Champ Chicken ball (200gr);12000
1234561;Champ Chiken Naget 123 (450gr);35000
1234598;Champ Chiken Nugget Stik (900gr);73000
12397;Champ Crunchy Hotss (300gr);24000
8993210000000;Champ Crunchy Nugget (225gr);18500
8993210000000;Champ Crunchy Nugget (450gr);33000
8993210000000;Champ Mitra Chicken Stik (500gr);40000
1234562;Champ Nuget Coin (450gr);35000
8993210000000;Champ Nugget (250gr);20000
8993210000000;Champ Nugget (500gr);39000
8993210000000;Champ Nugget ABC (225gr);18500
8993210000000;Champ Nugget ABC (450gr);35000
8993210000000;Champ Nugget Ayam (450gr);36000
12398;Champ Nugget Chicken Stik (1kg);71500
123400;Champ Nugget Coin (250gr);22500
123401;Champ Nugget Coin (500gr);37000
123402;Champ Nugget Hotzz Level 5 (500gr);39000
8993210000000;Champ Nugget Kombinasi (225gr);18500
8993210000000;Champ Nugget Kombinasi (900gr);65000
8993210000000;Champ Nugget Kombinasi Stik (255gr);18500
8993210000000;Champ Nugget Kombinasi Stik (450gr);36000
123403;Champ Sosis (3Pcs);5000
8993210000000;Champ Sosis Ayam Isi 3 (75gr);5000
8993210000000;Champ Sosis Bakar Jumbo (500gr);25000
8993210000000;Champ Sosis Bakar Mini Isi 10 (500gr);30000
6973130000000;Chn Frozen Potato Cut (2,5Kg);72000
745179000000;Cimanggis Bakso 168 (isi 50pcs);34000
745179000000;Cimanggis Bakso 77 (10pcs);3500
12385;Cimanggis Bakso 77 (50pcs);16000
745179000000;Cimanggis Bakso Htm (25pcs);17000
12384;Cimanggis Bakso168 (25pcs);17000
745179000000;Cimanggis Brekele (5pcs);16000
745179000000;Cimanggis Hitam (50Pcs);17500
745179000000;Cimanggis Polos (50pcs);27000
123407;Cimanggis Sbb (50pcs);60000
745179000000;Cimanggis Special (25pcs);19000
123408;Cimanggis Special (50pcs);19000
123409;Cimanggis Urat (25pcs);21500
123406;Cireng Kriwil Nyi Iteung;12500
8999900000000;Damon Uht Bubblegum (125ml);3000
123410;Danish Pastry Sheet (750gr);43500
8998890000000;Del Monte Barbeque Sauce (250gr);10000
8998890000000;Del Monte Berbeque Standing (1kg);32500
102726;Del Monte Blackpepper Stand (1000gr);39000
8998890000000;Del Monte Blackpepper Stand (250gr);11000
8998890000000;Del Monte Cs Spaghety Pouch (250gr);10000
123412;Del Monte Exhot Stand Pouch (500gr);13500
8998890000000;Del Monte Extra Hot (135ml);7000
8998890000000;Del Monte Extra Hot (190ml);10000
8998890000000;Del Monte Extra Hot Pet (265ml);11500
8998890000000;Del Monte Extra Hot Pounch (200gr);7000
8998890000000;Del Monte Extra Hot Sachet (24x8gr);7500
8998890000000;Del Monte Extra Hot Std Pounch (1kg);23000
8998890000000;Del Monte Korean Bbq Stand (250ml);11000
8998890000000;Del Monte Saus Tomat Pouch (200gr);6500
8998890000000;Del Monte Tomat Botol (190ml);9500
8998890000000;Del Monte Tomat Pet (265ml);10000
123413;Del Monte Tomato Stand Pouch (500gr);10000
8998890000000;Del Monte Tomato Standing Pouch (1kg);17500
8998890000000;Del MonteTomate (135ml);6500
8998890000000;Del MonteTomato Sachet;6500
123411;Delimax Herbs Sausage (360gr);45000
8997020000000;Delimax Ori Sausage (360gr);45000
8997020000000;Delimax Smoke Beef (200gr);19500
8997020000000;Delimax Smoke Beef Ori (500gr);44500
8997020000000;Delimax Smoke Spicy Chicken Wings (500gr);46000
123545;Diamond Milk Full Cream (1Ltr);21000
8999900000000;Diamond UHT Chocolate (125ml);3500
8999900000000;Diamond UHT Chocolate (1ltr);21000
8999900000000;Diamond UHT Full Cream (125ml);3500
8999900000000;Diamond UHT Milk Marshmallow (125ml);3500
8999900000000;Diamond UHT Strawberry (125ml);3500
8992510000000;Donat Pelangi Jumbo 10 (500gr);16500
123415;Dori Fillet (1kg);41000
123416;Eby Fry Tray;27000
123417;Eco Saos Extra Pedas (1kg);12000
1234587;Edmuk Bar Cheese (200gr);20000
1234582;Edmuk Bar Veggie (200gr);18500
123418;Edo Coklat Jumbo (10pcs);13500
123419;Edo Coklat Mini (20pcs);17000
123420;Edo Kentang Jumbo (10pcs);13500
123421;Edo Kentang Mini (20pcs);16500
8993490000000;Edo Puff Pastry Sheet (750gr);43000
123424;Edo Susu Jumbo (10pcs);13500
123425;Edo Susu Mini (20pcs);17000
123426;Edo Ubi Ungu Jumbo (10pcs);13000
123427;Edo Ubi Ungu Mini (20pcs);16500
123429;Fg Rendang Potong (1kg);115000
123430;Fg Rendang Potong (500gr);55000
8993210000000;Fiesta  Nugget Cheese 123 (500gr);52000
8993210000000;Fiesta Cheesy Lover (400gr);49500
123431;Fiesta Cheesy Lover (500gr);64000
8993210000000;Fiesta Chicken Nugget (400gr);42500
8993210000000;Fiesta Cordon Bleu Bbq Sauce (500gr);76000
8993210000000;Fiesta Crispy Bubble Nugget (400gr);38000
8993210000000;Fiesta Crispy Bubble Nugget (500gr);45500
8993210000000;Fiesta Crispy Crunch (300gr);28500
8993210000000;Fiesta French Fries Butter (500gr);28000
8993210000000;Fiesta Kentang (1kg);38000
8993210000000;Fiesta Kentang (500gr);20000
8993210000000;Fiesta Kentang Butter Coated (1kg);47500
1234594;Fiesta Kentang Butter Coated (500gr);28000
8993210000000;Fiesta Krinkel Shoestring (1kg);40000
8993210000000;Fiesta Krinkel Shoestring (500gr);22000
8993210000000;Fiesta Mitra Karage (400gr);43000
8993210000000;Fiesta Mitra Karage (500gr);52000
8993210000000;Fiesta Nuget Dino (500gr);54000
8993210000000;Fiesta Nuget Zoo (500gr);53000
8993210000000;Fiesta Nugget (200gr);22000
8993210000000;Fiesta Nugget (250gr);28500
8993210000000;Fiesta Nugget Cheese 123 (400gr);40000
8993210000000;Fiesta Nugget Dino (400gr);45000
8993210000000;Fiesta Nugget Pizza ABC (400gr);42500
8993210000000;Fiesta Nugget Pizza ABC (500gr);53000
8993210000000;Fiesta Nugget Stikie (250gr);28500
8993210000000;Fiesta Nugget Zoo (400gr);43000
8993210000000;Fiesta Pok-Pok (400gr);45000
8993210000000;Fiesta Ready To Go Korean Spicy (65gr);7500
8993210000000;Fiesta Ready To Go Sausage  Original (65gr);7500
8993210000000;Fiesta Rtg Cheesy Melts (65gr);7500
123434;Fiesta Rtg Chicken Cheesy Melts (65gr);7500
8993210000000;Fiesta Spicy Chick (400gr);44000
8993210000000;Fiesta Spicy Chick (500gr);50000
123436;Fiesta Spicy Karage (400gr);44000
123437;Fiesta Spicy Karage (500gr);57000
123438;Fiesta Spicy Nugget (500gr);51000
8993210000000;Fiesta Spicy Wing (400gr);56000
8993210000000;Fiesta Spicy Wings (500gr);68000
8993210000000;Fiesta Stikie (200gr);22500
8993210000000;Fiesta Stikie (400gr);45000
